"Date","X1","X2","X3","X4","X5","X6","S"
"103/09/30",49,41,18,47,36,35,15
"103/09/26",15,19,29,22,37,8,39
"103/09/23",38,28,20,32,2,11,16
"103/09/19",6,17,29,2,32,39,4
"103/09/16",41,19,7,18,16,12,45
"103/09/12",27,49,2,36,31,23,15
"103/09/09",42,49,21,41,29,23,14
"103/09/05",16,25,32,10,36,27,45
"103/09/02",39,36,43,7,8,42,22
"103/08/29",39,38,21,23,10,9,35
"103/08/26",23,32,43,19,1,17,9
"103/08/22",43,8,23,30,16,31,18
"103/08/19",12,19,6,7,14,9,17
"103/08/15",47,46,29,23,18,48,5
"103/08/12",12,10,6,4,34,45,44
"103/08/08",32,42,26,45,38,31,37
"103/08/05",40,11,26,33,4,42,34
"103/08/01",45,8,21,32,5,23,18
"103/07/29",47,36,32,31,44,34,46
"103/07/25",45,30,21,32,5,35,26
"103/07/22",28,3,13,9,17,42,14
"103/07/18",19,15,21,2,30,1,40
"103/07/15",7,32,18,23,48,34,13
"103/07/11",7,18,30,1,15,14,33
"103/07/08",33,10,39,22,47,25,38
"103/07/04",48,14,24,17,27,3,28
"103/07/01",9,21,48,8,7,6,18
"103/06/27",35,34,36,27,13,21,24
"103/06/24",14,40,8,1,12,41,15
"103/06/20",14,36,12,16,33,47,48
"103/06/17",3,6,20,48,18,25,12
"103/06/13",28,32,37,42,4,21,16
"103/06/10",3,32,11,35,33,28,30
"103/06/06",41,29,47,49,25,40,48
"103/06/03",31,32,16,44,35,33,46
"103/05/30",21,9,17,35,24,30,15
"103/05/27",26,19,23,10,39,32,16
"103/05/23",30,11,22,46,17,27,15
"103/05/20",34,33,30,13,35,6,38
"103/05/16",45,41,31,42,14,38,29
"103/05/13",32,20,31,44,29,15,23
"103/05/09",13,1,27,21,37,11,3
"103/05/06",10,46,39,35,40,25,31
"103/05/02",1,25,37,23,7,40,12
"103/04/29",2,46,9,44,30,27,22
"103/04/25",46,24,34,4,38,35,30
"103/04/22",18,37,20,11,12,15,42
"103/04/18",8,48,15,40,9,44,24
"103/04/15",26,44,24,8,35,5,41
"103/04/11",1,3,17,9,12,4,15
"103/04/08",28,27,17,1,45,14,11
"103/04/04",8,24,35,37,41,47,23
"103/04/01",46,18,29,30,47,22,6
"103/03/28",9,18,23,36,47,35,41
"103/03/25",19,25,47,42,30,23,16
"103/03/21",47,26,46,8,31,18,20
"103/03/18",26,40,35,39,12,28,16
"103/03/14",47,8,40,41,27,2,28
"103/03/11",40,20,15,16,13,43,14
"103/03/07",38,26,6,37,18,30,16
"103/03/04",43,8,40,35,37,26,6
"103/02/28",17,24,13,18,32,28,37
"103/02/25",13,9,5,3,46,12,4
"103/02/21",11,12,23,40,28,48,9
"103/02/18",47,19,6,26,32,20,35
"103/02/14",24,10,48,33,20,19,1
"103/02/11",15,31,21,6,44,22,41
"103/02/07",22,5,28,11,21,12,25
"103/02/04",19,46,32,12,42,8,28
"103/02/03",2,16,27,30,17,1,48
"103/02/02",14,45,3,24,19,13,5
"103/02/01",36,37,13,19,9,6,27
"103/01/31",38,17,23,49,48,27,19
"103/01/30",9,22,49,48,45,44,8
"103/01/28",2,30,7,26,5,1,24
"103/01/24",4,20,29,41,45,1,36
"103/01/21",22,43,12,44,38,15,9
"103/01/17",20,29,13,15,26,36,37
"103/01/14",11,49,2,45,41,21,26
"103/01/10",7,19,17,30,37,32,3
"103/01/07",1,7,25,36,21,35,39
"103/01/03",11,35,21,18,37,20,8
